code,title,year,genres,rating,cast
tt13640696,See How They Run,2022,"Comedy,Crime,Mystery",6.5,"Kieran Hodgson, Pearl Chanda, Gregory Cox, Harris Dickinson, Maggie McCarthy"
tt13648224,We're All Going to the World's Fair,2021,"Drama,Horror",5.4,"Anna Cobb, Michael J Rogers, Turner Greaves, Theo Anthony, Holly Anne Frink"
tt1365050,Beasts of No Nation,2015,"Drama,War",7.7,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitar, Andrew Adote, Vera Nyarkoah Antwi"
tt13650600,Emergency,2022,"Comedy,Drama,Thriller",6.2,"RJ Cyler, Donald Elise Watkins, Sebastian Chacon, Sabrina Carpenter, Maddie Nichols"
tt13650742,Suncoast,2024,Drama,6.7,"Nico Parker, Laura Linney, Woody Harrelson, Daniella Taylor, Ella Anderson"
tt13651628,Belle,2021,"Adventure,Animation,Drama",7.1,"Kaho Nakamura, Kaho Nakamura, Ryo Narita, Shôta Sometani, Tina Tamashiro"
tt13651794,May December,2023,Drama,6.8,"Natalie Portman, Chris Tenzis, Charles Melton, Julianne Moore, Andrea Frankle"
tt1365474,Stricken,2009,"Drama,Romance",6.8,"Carice van Houten, Barry Atsma, Anna Drijver, Jeroen Willems, Sacha Bulthuis"
tt13655120,I.S.S.,2023,"Sci-Fi,Thriller",5.3,"Ariana DeBose, Chris Messina, John Gallagher Jr., Masha Mashkova, Costa Ronin"
tt1365519,Tomb Raider,2018,"Action,Adventure,Fantasy",6.3,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas"
tt13655328,End of the Road,2022,"Action,Crime,Drama",4.8,"Queen Latifah, Ludacris, Mychala Lee, Shaun Dixon, Beau Bridges"
tt1366344,The Sitter,2011,Comedy,5.6,"Jonah Hill, Ari Graynor, Sam Rockwell, Max Records, J.B. Smoove"
tt1366365,The Cold Light of Day,2012,"Action,Adventure,Thriller",4.9,"Henry Cavill, Bruce Willis, Sigourney Weaver, Verónica Echegui, Joseph Mawle"
tt13664684,Karthikeya 2,2022,"Action,Adventure,Fantasy",7.9,"Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu, Adithya Menon"
tt13669038,Women Talking,2022,Drama,6.9,"Rooney Mara, Claire Foy, Jessie Buckley, Frances McDormand, Judith Ivey"
tt1368116,Merantau,2009,"Action,Drama,Thriller",6.7,"Iko Uwais, Sisca Jessica, Christine Hakim, Mads Koudal, Yusuf Aulia"
tt1368440,Branded,2012,"Drama,Fantasy,Sci-Fi",4.6,"Ed Stoppard, Leelee Sobieski, Jeffrey Tambor, Ingeborga Dapkunaite, Max von Sydow"
tt1368491,Undertow,2009,"Drama,Fantasy,Romance",7.7,"Cristian Mercado, Tatiana Astengo, Manolo Cardona, Attilia Boschetti, José Chacaltana"
tt13694628,Nitram,2021,"Crime,Drama,Thriller",7.1,"Caleb Landry Jones, Judy Davis, Sean Keenan, Essie Davis, Anthony LaPaglia"
tt1369706,The Ward,2010,"Horror,Mystery,Thriller",5.5,"Amber Heard, Mamie Gummer, Danielle Panabaker, Laura-Leigh, Lyndsy Fonseca"
tt13698928,Silence: Can You Hear It,2021,"Crime,Thriller",6.6,"Sahil Vaid, Saurrabh Kushwaha, Pankaj Anand, Manoj Bajpayee, Hitha Chandrashekar"
tt13698942,The Immaculate Room,2022,"Drama,Thriller",5.1,"Emile Hirsch, Kate Bosworth, Ashley Greene, M. Emmet Walsh, Alex Sgambati"
tt1371111,Cloud Atlas,2012,"Drama,Mystery,Sci-Fi",7.4,"Tom Hanks, Tom Hanks, Tom Hanks, Halle Berry, Halle Berry"
tt1371150,This Is Where I Leave You,2014,"Comedy,Drama",6.6,"Jason Bateman, Tina Fey, Jane Fonda, Adam Driver, Rose Byrne"
tt1371155,Made in Dagenham,2010,"Comedy,Drama,History",7.1,"Sally Hawkins, Bob Hoskins, Andrea Riseborough, Jaime Winstone, Lorraine Stanley"
tt1371574,Kosmos,2009,"Drama,Fantasy",7.1,"Sermet Yesil, Türkü Turan, Serkan Keskin, Hakan Altuntas, Akin Anli"
tt1371630,Air Doll,2009,"Drama,Fantasy,Romance",6.9,"Bae Doona, Arata Iura, Itsuji Itao, Joe Odagiri, Sumiko Fuji"
tt13717980,Grudge,2021,"Crime,Drama,Mystery",5.5,"Yilmaz Erdogan, Ahmet Mümtaz Taylan, Cem Yigit Üzümoglu, Cem Yigit Üzümoglu, Ruzgar Aksoy"
tt13721828,The Witch: Part 2 - The Other One,2022,"Action,Mystery,Thriller",6.3,"Cynthia, Jo Min-soo, Kim Da-mi, Park Eun-bin, Jin Goo"
tt13723064,All My Friends Are Dead,2020,"Comedy,Crime,Horror",5.9,"Michal Meyer, Adam Woronowicz, Julia Wieniawa-Narkiewicz, Adam Turczyk, Nikodem Rozbicki"
tt1372686,Coriolanus,2011,"Drama,Thriller,War",6.1,"Ralph Fiennes, Gerard Butler, Brian Cox, Lubna Azabal, Ashraf Barhom"
tt1373120,Breathless,2008,"Crime,Drama",7.5,"Kim Kkobbi, Hwan Lee, Yang Ik-joon, Jeong-soon Park, Lee Seung-yun"
tt1373156,Karthik Calling Karthik,2010,"Drama,Mystery,Romance",7.1,"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Shefali Shah, Vivan Bhatena"
tt1373215,Recep Ivedik 2,2009,Comedy,4.5,"Sahan Gökbakar, Gülsen Özbakan, Çagri Büyüksayar, Efe Babacan, Asiye Dinçsoy"
tt1374989,Pride and Prejudice and Zombies,2016,"Action,Comedy,Fantasy",5.8,"Lily James, Sam Riley, Jack Huston, Bella Heathcote, Ellie Bamber"
tt1374992,Upside Down,2012,"Drama,Romance,Sci-Fi",6.3,"Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma, Nicholas Rose"
tt13751694,Animal,2023,"Action,Crime,Drama",6.1,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna, Triptii Dimri"
tt1375666,Inception,2010,"Action,Adventure,Sci-Fi",8.8,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy"
tt1375670,Grown Ups,2010,Comedy,6.0,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock, David Spade"
tt1375789,Race 2,2013,"Action,Crime,Thriller",5.4,"Saif Ali Khan, Anil Kapoor, John Abraham, Deepika Padukone, Jacqueline Fernandez"
tt1376213,The Adventurer: The Curse of the Midas Box,2013,"Adventure,Family,Fantasy",5.5,"Aneurin Barnard, Michael Sheen, Lena Headey, Sam Neill, Ioan Gruffudd"
tt1376717,Play,2011,Drama,7.1,"Anas Abdirahman, Sebastian Blyckert, Yannick Diakité, Sebastian Hegmar, Abdiaziz Hilowle"
tt1379177,The Disappearance of Alice Creed,2009,"Crime,Thriller",6.7,"Gemma Arterton, Eddie Marsan, Martin Compston"
tt1379182,Dogtooth,2009,"Drama,Thriller",7.1,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Christos Passalis, Mary Tsoni"
tt13793230,Jaadugar,2022,"Comedy,Drama,Fantasy",6.8,"Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi, Raksha Panwar, Raj Qushal"
tt13795296,Thank God,2022,Comedy,5.6,"Sidharth Malhotra, Ajay Devgn, Rakul Preet Singh, Mahesh Balraj, Kanwaljeet Singh"
tt13801462,Gandhi Godse Ek Yudh,2023,"Drama,History",6.7,"Deepak Antani, Chinmay Mandlekar, Tanisha Santoshi, Anuj Saini, Pawan Chopra"
tt13804084,Justice Society: World War II,2021,"Action,Adventure,Animation",6.4,"Stana Katic, Matt Bomer, Matt Bomer, Omid Abtahi, Geoffrey Arend"
tt1381404,The Company You Keep,2012,"Drama,Thriller",6.4,"Robert Redford, Robert Redford, Brit Marling, Stanley Tucci, Nick Nolte"
tt1381418,You May Not Kiss the Bride,2011,"Action,Comedy,Crime",5.4,"Dave Annable, Katharine McPhee, Rob Schneider, Mena Suvari, Kathy Bates"
tt1381505,Father of Invention,2010,"Comedy,Drama",5.7,"Kevin Spacey, Camilla Belle, Heather Graham, Johnny Knoxville, Anna Schafer"
tt13818368,Fighter,2024,"Action,Drama",6.2,"Hrithik Roshan, Deepika Padukone, Anil Kapoor, Karan Singh Grover, Akshay Oberoi"
tt13822738,The Takedown,2022,"Action,Comedy,Crime",5.8,"Omar Sy, Laurent Lafitte, Izïa Higelin, Dimitri Storoge, Stéphane Pezerat"
tt13825336,Good Luck Jerry,2022,"Comedy,Crime,Drama",5.5,"Janhvi Kapoor, Jaswant Dalal, Deepak Dobriyal, Nazibur Rahman Yeamin, Mita Vashisht"
tt1382725,The Round Up,2010,"Drama,History,War",7.1,"Jean Reno, Mélanie Laurent, Gad Elmaleh, Raphaëlle Agogué, Hugo Leverdez"
tt13833688,The Whale,2022,Drama,7.6,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau, Samantha Morton"
tt13834006,Stuck Together,2021,Comedy,6.3,"Dany Boon, François Damiens, Laurence Arné, Yvan Attal, Alison Wheeler"
tt13841850,Men,2022,"Drama,Fantasy,Horror",6.0,"Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin, Sarah Twomey"
tt13845438,Naane Varuvean,2022,Thriller,6.1,"Dhanush, Dhanush, Prabhu, Indhuja Ravichandran, Elli Avrram"
tt13849558,Corner Office,2022,"Comedy,Mystery",6.1,"Jon Hamm, Danny Pudi, Sarah Gadon, Christopher Heyerdahl, Allison Riley"
