code,poster,plot
tt13640696,https://image.tmdb.org/t/p/w500/r3rpSAi2yukZwr9H2km0WKGODWo.jpg,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard and eager rookie Constable Stalker take on the case, the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground, investigating the mysterious homicide at their own peril."
tt13648224,https://image.tmdb.org/t/p/w500/fXn4Nz1WCTEmzAFvwgEZoPHvptR.jpg,"Reality and fantasy begin to blur when a teenager, alone in her attic bedroom, immerses herself in a role-playing horror game online."
tt1365050,https://image.tmdb.org/t/p/w500/1D4vcJmJc58WXarpRtwgd2do9Rg.jpg,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination."
tt13650600,https://image.tmdb.org/t/p/w500/b1OVtVtcC7KQlsueXCwBSRaAR1o.jpg,"Ready for a night of legendary partying, three college students must weigh the pros and cons of calling the police when faced with an unexpected situation."
tt13650742,https://image.tmdb.org/t/p/w500/nmPLUp5lVMiGomkN3db1WPeNrz3.jpg,"While caring for her brother along with her audacious mother, a teenager strikes up an unlikely friendship with an eccentric activist who is protesting one of the most landmark medical cases of all time."
tt13651628,https://image.tmdb.org/t/p/w500/fYHOD4pxZQk4rsP2tQrZI5uBlZV.jpg,"Suzu is a 17-year-old high-school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious, dragon-like figure appears before her."
tt13651794,https://image.tmdb.org/t/p/w500/zhV7B610l7hjlri4ywikJ18ONuq.jpg,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past."
tt1365474,https://image.tmdb.org/t/p/w500/qmPhy9Y5sUAHnk8TfIZMCTKnX9N.jpg,"Handsome Dutchman Stijn is the star of an advertising agency with his buddy Frenk and a hot womanizer. The boys start their own agency and Stijn marries colleague Carmen, who accepts his incurable greed for truly meaningless one-night-stands. Even fatherhood and a move to the boring country go well, until Carmen gets breast cancer. Now their lives are turned upside-down, maybe wrecked"
tt13655120,https://image.tmdb.org/t/p/w500/blPAS2HZcOGLTREbUeNIWmz0B6f.jpg,Tensions flare in the near future aboard the International Space Station as a conflict breaks out on Earth. U.S. and Russian astronauts receive orders from the ground: take control of the station by any means necessary.
tt1365519,https://image.tmdb.org/t/p/w500/s4Qn5LF6OwK4rIifmthIDtbqDSs.jpg,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared."
