code,title,year,genres,rating,cast,poster,plot
tt9048804,Birth/Rebirth,2023,"Drama,Horror,Thriller",6.2,"Marin Ireland, Judy Reyes, A.J. Lister, Breeda Wool, Monique Gabriela Curnen",https://image.tmdb.org/t/p/w500/zlEhsNfOKhbnfs5NTJ6zOZtoLBb.jpg,A single mother and a childless morgue technician are bound together by their relationship to a little girl they have reanimated from the dead.
tt9049042,The Tunnel,2019,"Action,Drama,Thriller",6.0,"Thorbjørn Harr, Ylva Fuglerud, Lisa Carlehed, Mikkel Bratt Silset, Peter Førde",https://image.tmdb.org/t/p/w500/x2Nkkk0znwNDtqCdZKFQNA4Ayxg.jpg,"When a truck crashes inside a tunnel, people on their way home for Christmas are brutally trapped in a deadly fire. With a blizzard raging outside, and the first responders struggling to get to the accident, it's every man for himself."
tt9051908,Living,2022,Drama,7.2,"Bill Nighy, Aimee Lou Wood, Alex Sharp, Adrian Rawlins, Hubert Burton",https://image.tmdb.org/t/p/w500/zUJcp0rpUqp2GSk7t9jvAiZsXtM.jpg,"London, 1953. Mr. Williams, a veteran civil servant, is an important cog within the city's bureaucracy as it struggles to rebuild in the aftermath of World War II. Buried under paperwork at the office and lonely at home, his life has long felt empty and meaningless. Then a devastating medical diagnosis forces him to take stock, and to try and grasp some fulfilment before it passes permanently beyond reach."
tt9052870,Chhichhore,2019,"Comedy,Drama,Romance",8.3,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar, Tahir Raj Bhasin",https://image.tmdb.org/t/p/w500/cGDPQtQ5igtPMt3oJ6BCAor6dFp.jpg,Following a group of friends from university as they progress into middle-age life and go their own separate ways.
tt9052960,Laal Kaptaan,2019,"Action,Adventure,Drama",7.2,"Saif Ali Khan, Zoya Hussain, Manav Vij, Deepak Dobriyal, Aamir Bashir",https://image.tmdb.org/t/p/w500/pwVyWygIprXq2NIgiEsD2EgDFUm.jpg,"In an 18th century setting, a Naga sadhu in India sets out on a journey across Bundelkhand to seek revenge for an injustice committed in the past."
tt9054192,Queenpins,2021,"Comedy,Crime",6.4,"Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Lidia Porto",https://image.tmdb.org/t/p/w500/p5Uz76EOwj9rAsdGxYL8IZGPV2B.jpg,"Bored and frustrated suburban homemaker Connie and her best pal JoJo, a vlogger with dreams, turn a hobby into a multi-million-dollar counterfeit coupon caper. After firing off a letter to the conglomerate behind a box of cereal gone stale, and receiving an apology along with dozens of freebies, the duo hatch an illegal coupon club scheme that scams millions from mega-corporations and delivers deals to legions of fellow coupon clippers. On the trail to total coupon dominance, a hapless Loss Prevention Officer from the local supermarket chain joins forces with a determined U.S. Postal Inspector in hot pursuit of these newly minted “Queenpins” of pink collar crime."
tt9054970,Doctor G,2022,"Comedy,Drama",6.6,"Ayushmann Khurrana, Rakul Preet Singh, Shefali Shah, Sheeba Chaddha, Indraneil Sengupta",https://image.tmdb.org/t/p/w500/ojQbYD4pHKBrnxrG0FBdqGCHhlq.jpg,"Uday Gupta, a medical college student wanted to specialise in Orthopaedic, but is stuck in an all-female class of Gynaecology. Will he change his department, or will the department change him?"
tt9056818,Last Breath,2019,Documentary,7.7,Robert Goodwin,https://image.tmdb.org/t/p/w500/zfTNsILhmDiChJJ7Zxxl8IUvkUM.jpg,"A commercial diver is stranded on the seabed with only five minutes of oxygen supply, but with no chance of rescue for more than 30 minutes. With access to amazing archival footage, this is the true story of one man’s impossible fight for survival."
tt9058654,Dinner in America,2020,"Comedy,Drama,Music",7.5,"Kyle Gallner, Yancey Fuqua, Jennifer Kincer, Hannah Marks, Ricky Wayne",https://image.tmdb.org/t/p/w500/kbZSktEZOvn4Rc2l234PHbAVTkQ.jpg,An on-the-lam punk rocker and a young woman obsessed with his band go on an unexpected and epic journey together through the decaying suburbs of the American Midwest.
tt9059704,An American Pickle,2020,"Comedy,Fantasy",5.7,"Seth Rogen, Seth Rogen, Sarah Snook, Molly Evensen, Eliot Glazer",https://image.tmdb.org/t/p/w500/8ziUp2q71vCmMgYY2MRCwI3mSs5.jpg,"An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern day Brooklyn. He learns his only surviving relative is his great grandson, a computer coder who he can’t connect with."
